Run,A,B,C,D,E,Replicate1,Replicate2
1,1,-1,-1,-1,-1,69.8,72
2,-1,1,-1,-1,-1,66.4,67.4
3,-1,-1,1,-1,-1,83,68.6
4,-1,-1,-1,1,-1,16.2,23.4
5,-1,-1,-1,-1,1,46.1,33.6
6,1,1,1,-1,-1,68.6,65.5
7,1,1,-1,1,-1,6.8,7.2
8,1,1,-1,-1,1,15.6,19.1
9,1,-1,1,1,-1,11.1,7
10,1,-1,1,-1,1,19.8,20.3
11,1,-1,-1,1,1,3.7,4.7
12,-1,1,1,1,-1,5.8,3.9
13,-1,1,-1,1,1,2.6,4
14,-1,1,1,-1,1,42.2,23.2
15,-1,-1,1,1,1,1.8,5.2
16,1,1,1,1,1,3.1,3.4
17,-1,-1,-1,-1,-1,78.6,81.9
18,0,0,0,0,0,13.3,16.7
19,1,1,1,1,1,3.4,3.8
20,-1,-1,0,0,1,21.4,25.2
21,0,0,1,1,-1,8.6,4.4
22,1,1,-1,-1,0,18,27.3
23,-1,0,-1,1,0,7.3,2.4
24,0,1,0,-1,1,17.9,23.7
25,1,-1,1,0,-1,52.9,54.3
26,-1,1,1,0,0,13.2,8.8
27,0,-1,-1,1,1,2.1,4.5
28,1,0,0,-1,-1,73.4,73.9
29,-1,0,1,-1,1,19.6,14.6
30,0,1,-1,0,-1,59.1,41.7
31,1,-1,0,1,0,1.4,2.6
32,-1,1,0,1,-1,7.3,4.8
33,0,-1,1,-1,0,22.3,24
34,1,0,-1,0,1,14.1,18.3
